SKU,Nombre del producto,Marca,Categoría,Subcategoría,Precio de lista,Más bajo,Más alto,Precio mercado,Best for Pets (Final),Best for Pets (Normal),Best for Pets (Tarjeta),SKU Best for Pets,Club De Perros Y Gatos (Final),Club De Perros Y Gatos (Normal),Club De Perros Y Gatos (Tarjeta),SKU Club De Perros Y Gatos,DrPet (Final),DrPet (Normal),DrPet (Tarjeta),SKU DrPet,Laika Chile (Final),Laika Chile (Normal),Laika Chile (Tarjeta),SKU Laika Chile,NovaPet (Final),NovaPet (Normal),NovaPet (Tarjeta),SKU NovaPet,Pawal (Final),Pawal (Normal),Pawal (Tarjeta),SKU Pawal,Pet City (Final),Pet City (Normal),Pet City (Tarjeta),SKU Pet City,Pet Happy (Final),Pet Happy (Normal),Pet Happy (Tarjeta),SKU Pet Happy,Pet&Go (Final),Pet&Go (Normal),Pet&Go (Tarjeta),SKU Pet&Go,Petco Chile (Final),Petco Chile (Normal),Petco Chile (Tarjeta),SKU Petco Chile,PuntoMascotas (Final),PuntoMascotas (Normal),PuntoMascotas (Tarjeta),SKU PuntoMascotas,PyK (Final),PyK (Normal),PyK (Tarjeta),SKU PyK,Superzoo (Final),Superzoo (Normal),Superzoo (Tarjeta),SKU Superzoo,TusMascotas (Final),TusMascotas (Normal),TusMascotas (Tarjeta),SKU TusMascotas
12466087,ONE Gato Salmon 6kg AR  6 kg,purina one,gato,seco,"$ 45,490","$ 37,990","$ 46,710","$ 41,734","$ 46,710",,,alg-01-12592,,,,,,,,,"$ 43,830","$ 48,700","$ 41,395",7613287230461,"$ 41,990",,,sa-12466087-ne,"$ 38,151","$ 42,390",,178-302,,,,,,,,,,,,,,,,,"$ 37,990",,,39637,,,,,,,,,,,,
12466086,ONE Gato Salmon 6x2kg AR  2 kg,purina one,gato,seco,"$ 18,290","$ 14,990","$ 17,460","$ 16,295",,,,,,,,,,,,,"$ 17,460",,,7613287230447,"$ 16,990",,,sa-12466086-ne,"$ 15,741","$ 17,490",,178-303,,,,,,,,,,,,,,,,,"$ 14,990",,,39638,,,,,,,,,,,,
12468816,ONE Gatos Adt y Estlz Super Ntr  85 gr,purina one,gato,,"$ 1,250","$ 1,200","$ 2,000","$ 1,600","$ 2,000",,,alg-01-13941,,,,,,,,,,,,,"$ 1,200",,,sn-12468816-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12468803,ONE Gatos Adt y Estlz Superfoods  85 gr,purina one,gato,,"$ 1,250","$ 2,000","$ 2,000","$ 2,000","$ 2,000",,,alg-01-13942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12468817,ONE Gatos Adt y Gtts Multi Protein  85 gr,purina one,gato,,"$ 1,250","$ 1,200","$ 2,000","$ 1,600","$ 2,000",,,alg-01-13940,,,,,,,,,,,,,"$ 1,200",,,sn-12468817-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12333535,"TIDY CAT SCOOP LWT  2,72kg",tidy cats,gato,arenas,"$ 15,990","$ 12,990","$ 22,390","$ 15,084","$ 14,500",,,cug-01-08792,,,,,,,,,"$ 14,400","$ 16,000","$ 13,600",070230168436,"$ 14,990",,,ar-12333535-ne,"$ 14,301","$ 15,890",,195-332,,,,,"$ 14,990","$ 16,990",,12120007,"$ 15,990",,,3843-6135,,,,,"$ 12,990",,,36373,"$ 13,300",,,3373,"$ 22,390",,,2637,"$ 12,990",,,070230168436
12426941,"TIDY CATS 24/7 PERFORMANCE 9.07kg XI  9,07kg",tidy cats,gato,arenas,"$ 14,990","$ 11,990","$ 14,240","$ 13,450",,,,,,,,,,,,,,,,,"$ 13,990",,,ar-12426941-ne,"$ 13,581","$ 15,090",,193-329,,,,,"$ 14,240",,,12120006,,,,,,,,,"$ 11,990",,,30054,,,,,,,,,,,,
12426919,"TIDY CATS 24/7PERF Cnv 4x4,54kg XI  4,54kg",tidy cats,gato,arenas,"$ 8,490","$ 6,650","$ 14,580","$ 8,680",,,,,,,,,,,,,"$ 14,580","$ 16,200","$ 13,770",070230169617,"$ 7,990",,,ar-12426919-ne,"$ 7,191","$ 7,990",,193-330,,,,,"$ 6,650",,,12120008,,,,,,,,,"$ 6,990",,,30284,,,,,,,,,,,,
12426936,"TIDY CATS INSTANT ACTION Scp 3x6.35kg XI  6,35kg",tidy cats,gato,arenas,"$ 14,990","$ 8,990","$ 20,990","$ 13,255","$ 13,500",,,cug-01-00054,,,,,,,,,"$ 13,500","$ 15,000","$ 12,750",070230169648,"$ 13,990",,,ar-12426936-ne,"$ 12,861","$ 14,290",,194-331,"$ 12,000","$ 14,990",,10024324,"$ 13,690",,,12120016,"$ 14,990",,,3844-6136,,,,,"$ 11,990",,,30055,"$ 9,300",,,496,"$ 20,990",,,946,"$ 8,990",,,070230117168
12364417,Alimento húmedo para gato PRO PLAN® Dietas Veterinarias NF Advanced Care 156g,pro plan veterinary diets,gato,húmedo,"$ 3,300","$ 3,300","$ 3,990","$ 3,669","$ 3,655",,,alg-01-08305,"$ 3,990",,,1574803849995,"$ 3,300",,,rf2xdbtka44okkzrs,,,,,"$ 3,500",,,la-12364417-ne,,,,,,,,,,,,,,,,,,,,,,,,,"$ 3,900",,,2569,,,,,,,,
12481681,Alimento húmedo para perro PROPLAN® Dietas Veterinarias NF Enfermedad Renal 368g,pro plan veterinary diets,perro,húmedo,"$ 4,100","$ 3,490","$ 8,900","$ 4,611","$ 4,505",,,alp-01-08302,,,,,"$ 4,100",,,dlmyt4rdrt6up5obj,,,,,"$ 3,800",,,la-12379917-ne,,,,,,,,,,,,,"$ 3,490",,,3658-5849,"$ 8,900",,,122217,"$ 3,490",,,35998,,,,,,,,1560,"$ 3,990","$ 4,990",,038100138033
12367348,Alimento húmedo perro y gato PROPLAN® Dieta Veterinaria CN NutriciónCrítica 156g,pro plan veterinary diets,gato,húmedo,"$ 4,100","$ 3,040","$ 6,990","$ 4,351","$ 4,505",,,alg-01-08303,,,,,"$ 4,100",,,jh9dzae4d6kfnny68,"$ 3,040",,,38100147196,"$ 3,990",,,la-12367348-ne,,,,,,,,,,,,,"$ 3,990",,,3660-5851,,,,,"$ 3,690",,,35999,"$ 4,500",,,2570,"$ 6,990",,,2652,,,,
12473458,Alimento húmedo terapeutico para gato PRO PLAN® Dietas Veterinarias EN Gastroentérico 156g,pro plan veterinary diets,gato,húmedo,"$ 3,300","$ 3,300","$ 4,100","$ 3,658","$ 3,655",,,alg-01-08304,,,,,"$ 3,300",,,trqwqrhkh2f7nkfyz,,,,,"$ 3,500",,,la-12376490-ne,,,,,,,,,,,,,"$ 3,490",,,3665-5856,"$ 4,100",,"$ 4,100",600096,,,,,"$ 3,900",,,3127,,,,,,,,
12481683,Alimento húmedo terapeutico para perro PRO PLAN® Dietas Veterinarias EN Gastroentérico 368g,pro plan veterinary diets,perro,húmedo,"$ 4,100","$ 2,850","$ 4,580","$ 4,045","$ 4,505",,,alp-01-08301,,,,,,,,,"$ 2,850",,,38100159328,"$ 3,800",,,la-12408257-ne,,,,,,,,,,,,,"$ 4,490",,,3659-5850,"$ 4,580",,"$ 4,580",122210,,,,,,,,,,,,,,,,
12453104,alimento para perro pro plan active mind raza medianos y grandes en bolsa de 3kg,pro plan,gato,,"$ 29,990","$ 20,190","$ 31,290","$ 26,638","$ 26,775",,,alp-01-07784,"$ 31,290",,,1576680958436,,,,,"$ 27,540","$ 30,600","$ 26,010",7613287031990,"$ 24,990","$ 29,400",,sa-12453104-ne,"$ 27,790",,,135-230,,,,,"$ 29,990","$ 35,990",,28540250,"$ 25,990",,,3708-5934,"$ 28,980",,"$ 27,531",600036,"$ 24,990",,,30034,,,,,"$ 24,493","$ 34,990",,1854,"$ 20,190","$ 26,920",,7613287031990
12453289,alimento para perro pro plan sensitive skin razas medianas y grandes en bolsa de 3kg,pro plan,perro,,"$ 29,990","$ 23,990","$ 34,990","$ 27,818","$ 25,415",,,alp-01-00074,"$ 31,290",,,1610043615452,,,,,"$ 27,180","$ 30,200","$ 25,670",7613287033208,"$ 23,990",,,sa-12453289-ne,"$ 27,790",,,138-236,,,,,"$ 29,990","$ 32,990",,28540236,"$ 25,990",,,3714-5945,"$ 28,980",,"$ 27,531",600029,"$ 24,990",,,35299,,,,,"$ 34,990",,,188,"$ 25,390","$ 33,850",,7613287033208
12329397,Alimento seco para perro EXCELLENT® Adultos Razas Medianas y Grandes 15kg,excellent,perro,seco,"$ 59,990","$ 42,750","$ 66,990","$ 50,652","$ 45,430","$ 64,900",,alp-01-05235,"$ 56,990",,,66931473228696,,,,,"$ 57,285","$ 63,650","$ 54,103",7613035951525,"$ 51,500","$ 60,588",,sa-12329397-ne,"$ 48,090",,,166-282,"$ 42,750","$ 56,990",,10040751,,,,,"$ 49,990",,,3541-5666,,,,,"$ 42,990",,,33123,"$ 44,500",,,5867,"$ 66,990",,,923,,,,
12329396,Alimento seco para perro EXCELLENT® Cachorros Razas Medianas y Grandes 15kg,excellent,perro,seco,"$ 66,490","$ 38,815","$ 71,990","$ 50,791","$ 39,510",,,alp-01-05233,"$ 62,990",,,66931485351246,,,,,"$ 61,380","$ 68,200","$ 57,970",7613035951532,"$ 38,815",,,sa-12329396-ne,"$ 42,490",,,167-284,"$ 39,350",,,10040348-1,,,,,"$ 54,990",,,3609-5784,,,,,"$ 46,990",,,33125,"$ 49,400",,,5868,"$ 71,990",,,924,,,,
12453293,Alimento seco para perro PRO PLAN® Adulto +7 Raza Mediana y Grande 15kg,pro plan,perro,seco,"$ 94,990","$ 63,375","$ 96,990","$ 75,484","$ 63,375",,,alp-01-07785,"$ 89,990",,,1576680599183,"$ 82,990",,,g52dhsyxnavfz8mef,"$ 73,530","$ 81,700","$ 69,445",7613287032911,"$ 70,990","$ 83,518",,sa-12453293-ne,"$ 81,690",,,135-229,"$ 70,550","$ 82,990",,10003664,"$ 72,990","$ 79,990",,28540251,"$ 70,990",,,3708-5933,"$ 66,911","$ 68,980","$ 63,565",600013,"$ 74,990",,,35450,"$ 70,900",,,1928,"$ 96,990",,,1853,"$ 69,890","$ 93,190",,7613287032911
12453311,Alimento seco para perro PRO PLAN® Adulto Raza Grande 15kg,pro plan,perro,seco,"$ 86,990","$ 62,400","$ 89,990","$ 69,631","$ 67,915",,,alp-01-00071,"$ 89,990",,,1608316542481,"$ 77,990",,,kwysfqkmknqqodfd6,"$ 74,340","$ 82,600","$ 70,210",7613287031570,"$ 66,990","$ 78,812",,sa-12453311-ne,"$ 67,090",,,145-247,"$ 62,400","$ 77,990",,10003497,"$ 68,990","$ 78,990",,28540244,"$ 66,990",,,3561-5701,"$ 63,974","$ 78,980","$ 60,775",600006,"$ 67,990",,,30023,"$ 70,900",,,3218,"$ 64,990","$ 88,990",,187,"$ 64,290","$ 85,720",,7613287031570
12453312,Alimento seco para perro PRO PLAN® Adulto Rz Mediana/Grande Reduced Calorie 15kg,pro plan,perro,seco,"$ 89,990","$ 57,639","$ 92,990","$ 73,446","$ 61,875",,,alp-01-00073,"$ 92,990",,,1607629831466,"$ 79,990",,,amddr7gvnuhsar8w5,"$ 77,220","$ 85,800","$ 72,930",7613287033130,"$ 57,639",,,sa-12453312-ne,"$ 77,390",,,142-242,"$ 64,800","$ 80,990",,10003565,"$ 71,990","$ 78,990",,28540248,"$ 69,990",,,3711-5938,"$ 82,980",,"$ 78,831",600008,"$ 70,990",,,142,"$ 73,400",,,1797,"$ 80,000","$ 90,990",,191,"$ 66,990","$ 89,320",,7613287033130
12453316,Alimento seco para perro PRO PLAN® Adulto Rz Mediana/Grande Sensitive Skin 15kg,pro plan,perro,seco,"$ 91,990","$ 59,490","$ 93,990","$ 73,501","$ 72,165","$ 84,900",,alp-01-00075,"$ 93,990",,,1589912160052,"$ 66,900",,,swrfrcctepnws7bp7,"$ 79,110","$ 87,900","$ 74,715",7613287035011,"$ 69,990",,,sa-12453316-ne,"$ 71,390",,,138-235,"$ 66,400","$ 82,990",,10003503,"$ 72,990","$ 78,990",,28540237,"$ 70,990",,,3714-5943,"$ 74,803","$ 86,980","$ 71,063",600009,"$ 74,990",,,143,"$ 75,800",,,1796,"$ 80,000","$ 91,990",,189,"$ 59,490","$ 79,320",,7613287035011
12453294,Alimento seco para perro PRO PLAN® Cachorro Raza Grande 15kg,pro plan,perro,seco,"$ 89,990","$ 64,290","$ 83,990","$ 73,060","$ 73,015",,,alp-01-00064,"$ 83,990",,,1608813932599,"$ 79,990",,,3hndblpp9d5hdyvvj,"$ 71,730","$ 79,700","$ 67,745",7613287029034,"$ 66,990","$ 78,812",,sa-12453294-ne,"$ 69,690",,,150-258,"$ 64,800","$ 80,990",,10003626,"$ 69,990","$ 79,990",,28540261,"$ 69,990",,,3615-5792,"$ 82,980",,"$ 78,831",600002,"$ 70,990",,,30033,"$ 73,400",,,382,"$ 81,000","$ 89,990",,182,"$ 64,290","$ 85,720",,7613287029034
12483583,Alimento seco terapeutico para gato PRO PLAN® Dietas Veterinarias HA Hipoalergénico 3kg,pro plan veterinary diets,gato,seco,"$ 40,500","$ 33,500","$ 42,490","$ 37,693",,,,,"$ 42,490",,,1640788977451,,,,,,,,,"$ 33,500","$ 41,875",,sa-12483583-ne,,,,,,,,,,,,,"$ 38,790","$ 39,990",,3684-5893,,,,,"$ 35,990",,,39968,,,,,,,,,,,,
12469315,"Alimento seco terapeutico para perro PRO PLAN® Dietas Veterinarias HA Hipoalergénico 7,5 kg",pro plan veterinary diets,perro,seco,"$ 59,990","$ 33,360","$ 59,990","$ 48,498","$ 53,975","$ 63,500",,alp-01-13326,"$ 54,990",,,1638903815776,"$ 46,700",,,9wzb28kxmqdycnnz7,"$ 33,360",,,38100136671,"$ 49,990","$ 62,488",,sa-11058254-ne,,,,,,,,,,,,,"$ 59,990",,,3670-7266,,,,,"$ 47,990",,,39871,"$ 42,500",,,5668,"$ 46,990",,,6408,,,,
12482400,CAT CHOW Adultos Carne 85 gr,cat chow,gato,,"$ 1,020",$ 799,"$ 1,290","$ 1,008","$ 1,190",,,alg-01-10126,,,,,,,,,$ 810,$ 900,$ 765,7891000113066,$ 799,$ 986,,sn-12338916-ne,$ 952,"$ 1,190",,223-359,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7251,,,,
12482394,CAT CHOW Adultos Pescado 85 gr,cat chow,gato,,"$ 1,020",$ 799,"$ 1,290","$ 1,035","$ 1,100",,,alg-01-10128,,,,,,,,,,,,,$ 799,$ 986,,sn-12338914-ne,$ 952,"$ 1,190",,225-361,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7253,,,,
12482399,CAT CHOW Adultos Pollo  85 gr,cat chow,gato,,"$ 1,020",$ 799,"$ 1,290","$ 1,044","$ 1,190",,,alg-01-10127,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000244074,$ 799,$ 986,,sn-12338915-ne,$ 952,"$ 1,190",,224-360,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7252,,,,
12482395,CAT CHOW Esterilizados Carne 85 gr,cat chow,gato,,"$ 1,020",$ 739,"$ 1,290",$ 966,"$ 1,050",,,alg-01-10129,,,,,,,,,$ 739,,,7891000240205,$ 799,$ 986,,sn-12338913-ne,$ 952,"$ 1,190",,226-362,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7254,,,,
12482401,CAT CHOW Esterilizados Pescado 85 gr,cat chow,gato,,"$ 1,020",$ 799,"$ 1,290",$ 965,,,,,,,,,,,,,$ 900,"$ 1,000",$ 850,7891000244036,$ 799,$ 986,,sn-12338912-ne,$ 872,"$ 1,090",,227-363,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7255,,,,
12482410,CAT CHOW Gatitos Pollo 85 gr,cat chow,gato,,"$ 1,020",$ 739,"$ 1,290",$ 980,"$ 1,120",,,alg-01-10125,,,,,,,,,$ 739,,,7891000244012,$ 799,$ 986,,sn-12338768-ne,$ 952,"$ 1,190",,222-358,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,290",,,7250,,,,
12409089,DCHOWAdltMinisYPeqc/MixDePolYPa 100 gr,dog chow,gato,,$ 860,$ 720,$ 891,$ 798,$ 891,,,alp-01-11476,,,,,,,,,$ 720,$ 800,$ 680,7891000244159,$ 790,,,sn-12409089-ne,$ 792,$ 990,,214-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409090,DOG CHOW Adlt MinisYPeq c/Smn 100 gr,dog chow,perro,,$ 860,$ 720,$ 801,$ 770,$ 801,,,alp-01-11477,,,,,,,,,$ 720,$ 800,$ 680,7891000244722,$ 790,,,sn-12409090-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409091,DOG CHOW AdltMinis YPeq c/Car  100 gr,dog chow,perro,,$ 860,$ 790,$ 810,$ 800,,,,,,,,,,,,,$ 810,$ 900,$ 765,7891000244135,$ 790,,,sn-12409091-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12500998,DOG CHOW AdtMnPqn Car&Pll SinCol  3 kg,dog chow,perro,,"$ 12,990","$ 10,350","$ 11,600","$ 10,975","$ 11,600",,,alp-01-00019,,,,,,,,,"$ 10,350",,,7613035951662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409080,DOGCHOW Adlt TdTm 100 gr,dog chow,perro,,$ 860,$ 500,$ 810,$ 655,,,,,,,,,,,,,$ 810,$ 900,$ 765,7891000115657,$ 500,,,sn-12324189-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409085,DOGCHOW Adlt TdTm c/ Carne 100 gr,dog chow,perro,,$ 860,$ 790,"$ 1,190",$ 990,,,,,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000115633,$ 790,,,sn-12409085-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7265,,,,
12409082,DOGCHOW Adlt TdTm c/ Cord 100 gr,dog chow,perro,,$ 860,$ 632,"$ 1,190",$ 845,$ 891,,,alp-01-11475,,,,,,,,,$ 720,$ 800,$ 680,7891000115671,$ 790,,,sn-12409082-ne,$ 632,$ 790,,207-344,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7269,,,,
12409086,DOGCHOW Adlt TdTm c/ Pavo 100 gr,dog chow,perro,,$ 860,$ 720,$ 990,$ 823,$ 990,,,alp-01-10136,,,,,,,,,$ 720,$ 800,$ 680,7891000115619,$ 790,,,sn-12409086-ne,$ 792,$ 990,,211-347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409084,DOGCHOW CachorroTdTm c/ Car 100 gr,dog chow,perro,,$ 860,$ 621,$ 792,$ 734,$ 621,,,alp-01-10141,,,,,,,,,,,,,$ 790,,,sn-12409084-ne,$ 792,$ 990,,213-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409081,DOGCHOW CachorroTdTm c/ Pollo 100 gr,dog chow,perro,,$ 860,$ 801,"$ 1,190",$ 994,$ 801,,,alp-01-10135,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000115695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7266,,,,
12381389,EXCELLENT Adt Dog Formula 15kgCL 15kg,excellent,perro,seco,"$ 49,990","$ 30,990","$ 54,990","$ 39,973","$ 37,730","$ 53,900",,alp-01-09391,"$ 46,990",,,66931467065155,,,,,"$ 51,700",,,7613036672979,"$ 33,900","$ 39,882",,sa-12381389-ne,"$ 30,990",,,169-287,"$ 35,250","$ 46,990",,10059715,,,,,"$ 39,990",,,3540-5665,,,,,"$ 33,990",,,36949,"$ 34,200",,,5871,"$ 54,990",,,4045,,,,
12452607,EXCELLENT Adt Dog Smn Skin Care 15kg,excellent,perro,seco,"$ 66,490","$ 42,490","$ 71,990","$ 52,386","$ 45,900",,,alp-01-11535,"$ 62,990",,,66931492658990,,,,,"$ 61,380","$ 68,200","$ 57,970",7613287016904,"$ 43,676",,,sa-12452607-ne,"$ 42,490",,,168-286,"$ 47,250","$ 62,990",,10068748,,,,,"$ 52,990",,,6678-10382,,,,,"$ 46,990",,,38374,"$ 48,200",,,8125,"$ 71,990",,,7481,,,,
12526301,fancy feast goulash tuna 15x85g n1 xi,fancy feast,gato,,"$ 1,250",$ 810,$ 810,$ 810,$ 810,,,alg-01-14385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514101,FANCY FEAST Kiss c/ Salmon At 30x40gLAT 40 gr,fancy feast,gato,snack,"$ 2,990","$ 1,710","$ 3,290","$ 2,530","$ 2,000",,,alg-01-13874,"$ 2,990",,,66439198981613,"$ 3,290",,,p7f5mdshzkphsmbru,"$ 1,710","$ 1,900","$ 1,615",8445290179630,"$ 2,500","$ 2,941",,sn-12514101-ne,,,,,,,,,,,,,,,,,,,,,"$ 2,690",,,40186,,,,,,,,,,,,
12514098,FANCY FEAST Kiss con Atun 30x40g LAT 40 gr,fancy feast,gato,snack,"$ 2,990","$ 1,710","$ 3,290","$ 2,647","$ 2,700",,,alg-01-13875,"$ 2,990",,,66439191710051,"$ 3,290",,,qjpeuctrbozc5lfm6,"$ 1,710","$ 1,900","$ 1,615",8445290179678,"$ 2,500","$ 2,941",,sn-12514098-ne,,,,,,,,,,,,,,,,,,,,,"$ 2,690",,,40187,,,,,,,,,,,,
12514099,FANCY FEAST Kiss con Pollo 30x40g LAT 40 gr,fancy feast,gato,snack,"$ 2,990","$ 2,250","$ 3,290","$ 2,744","$ 2,250",,,alg-01-13873,"$ 2,990",,,66439195202691,"$ 3,290",,,zuhhlaudjzsx5shpv,,,,,"$ 2,500","$ 2,941",,sn-12514099-ne,,,,,,,,,,,,,,,,,,,,,"$ 2,690",,,40185,,,,,,,,,,,,
12435252,FANCY FEAST Mousse Carne 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 792,"$ 7,830","$ 1,875","$ 7,830",,,alg-01-11150,"$ 1,390",,,1583173201384,,,,,"$ 1,260","$ 1,400","$ 1,190",050000429547,"$ 1,100",,,la-12435252-ne,$ 792,$ 990,,238-374,"$ 1,350",,,10066096,,,,6834812,"$ 1,290",,,4947-7886,$ 950,,,600065,,,,,,,,,,,,,$ 910,"$ 1,210",,050000429547
12435243,FANCY FEAST Mousse Pez Camaron 8x85g Us 85 gr,fancy feast,gato,,"$ 1,350",$ 872,"$ 7,830","$ 2,405","$ 7,830",,,alg-01-11152,"$ 1,390",,,1583173162279,,,,,"$ 1,260","$ 1,400","$ 1,190",050000428946,,,,,$ 872,"$ 1,090",,237-373,,,,,,,,6834861,"$ 1,290",,,4946-7885,,,,,,,,,,,,,"$ 1,790",,,6151,,,,
12435253,FANCY FEAST Petits Filets Atun 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 792,"$ 7,830","$ 3,324","$ 7,830",,,alg-01-11155,,,,,,,,,,,,,,,,,$ 792,$ 990,,235-371,"$ 1,350",,,10066355,,,,6834916,,,,,,,,,,,,,,,,,,,,,,,,
12435241,FANCY FEAST Petits Filets Salmon 8x85gUS 85 gr,fancy feast,gato,,"$ 1,350",$ 872,"$ 7,830","$ 2,707","$ 7,830",,,alg-01-11148,"$ 1,390",,,1583173120706,"$ 1,500",,,y5vs6ryhhqf2nyqk2,"$ 1,350","$ 1,500","$ 1,275",050000503896,,,,,$ 872,"$ 1,090",,236-372,"$ 1,350",,,10003381,,,,6834513,"$ 1,290",,,4948-7887,,,,,"$ 6,990","$ 13,980",,38252,,,,,"$ 1,790",,,6155,,,,
12435251,FANCY FEAST Tartare Atun 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 872,"$ 7,830","$ 2,570","$ 7,830",,,alg-01-11153,"$ 1,390",,,1583173348500,"$ 1,500",,,2zbm9ffujoptsouj7,"$ 1,260","$ 1,400","$ 1,190",050000001248,,,,,$ 872,"$ 1,090",,242-378,,,,,,,,6834881,,,,,,,,,,,,,,,,,,,,,,,,
12435227,FANCY FEAST Tartare Trucha 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 872,"$ 7,830","$ 2,510","$ 7,830",,,alg-01-11151,,,,,"$ 1,500",,,occby2p8sqenocato,,,,,,,,,$ 872,"$ 1,090",,241-377,"$ 1,060",,,12204893,,,,,"$ 1,290",,,4945-7884,,,,,,,,,,,,,,,,,,,,
12435228,FANCY FEAST Terrine Pavo 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 872,"$ 7,830","$ 3,331","$ 7,830",,,alg-01-11149,,,,,,,,,,,,,,,,,$ 872,"$ 1,090",,240-376,,,,,,,,6834737,"$ 1,290",,,4943-7882,,,,,,,,,,,,,,,,,,,,
12435229,FANCY FEAST Terrine Pollo 8x85g US 85 gr,fancy feast,gato,,"$ 1,350",$ 792,"$ 7,830","$ 1,839","$ 7,830",,,alg-01-11346,"$ 1,390",,,1583173241737,"$ 1,500",,,wgfra6aehaxqccycx,"$ 1,260","$ 1,400","$ 1,190",050000426942,"$ 1,100",,,la-12435229-ne,$ 792,$ 990,,239-375,"$ 1,350",,,10003374,,,,6834906,"$ 1,290",,,4944-7883,$ 950,,$ 902,600071,,,,,,,,,"$ 1,790",,,6175,$ 980,"$ 1,310",,050000426942
12468794,ONE Perros Adt  y Cchr Multi Protein 100 gr,purina one,perro,,"$ 1,250","$ 1,200","$ 2,030","$ 1,615","$ 2,030","$ 2,900",,alp-01-13943,,,,,,,,,,,,,"$ 1,200",,,sn-12468794-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12468818,ONE Perros Adt Y Cchr Super Nutr 100 gr,purina one,perro,,"$ 1,250","$ 1,200","$ 2,000","$ 1,600","$ 2,000",,,alp-01-13944,,,,,,,,,,,,,"$ 1,200",,,sn-12468818-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12468787,ONE Perros Adt Y Cchr Superfoods 100 gr,purina one,perro,,"$ 1,250","$ 1,200","$ 2,030","$ 1,615","$ 2,030","$ 2,900",,alp-01-13945,,,,,,,,,,,,,"$ 1,200",,,sn-12468787-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12453123,PRO PLAN ACTIVE MIND Optiage Raza Pequeña 3kg,pro plan,perro,seco,"$ 29,990","$ 20,590","$ 34,990","$ 26,940","$ 26,775",,,alp-01-07786,"$ 31,290",,,1610657419976,"$ 20,590",,,jzwrqtwkfkyr4vaee,"$ 30,200",,,7613287031969,"$ 24,990","$ 29,400",,sa-12453123-ne,"$ 27,790",,,148-254,"$ 24,000","$ 29,990",,10003688,"$ 25,990","$ 32,990",,28540252,"$ 25,990",,,3709-5935,"$ 28,980",,"$ 27,531",600035,"$ 24,990",,,35478,"$ 24,600",,,2022,"$ 34,990",,,1855,"$ 25,990","$ 34,650",,7613287031969
12453305,"PRO PLAN ACTIVE MIND Optiage Raza Pequeña 7,5kg",pro plan,perro,seco,"$ 64,490","$ 47,300","$ 66,990","$ 53,816","$ 58,565",,,alp-01-07787,"$ 66,990",,,1611331694241,,,,,"$ 57,150","$ 63,500","$ 53,975",7613287031983,"$ 49,990","$ 58,812",,sa-12453305-ne,"$ 55,490",,,148-253,"$ 51,600","$ 64,490",,10054420,"$ 47,990","$ 55,990",,28540241,"$ 54,990",,,3709-5937,"$ 49,863","$ 57,980","$ 47,370",600016,"$ 49,990",,,36206,"$ 47,300",,,7348,"$ 58,000","$ 67,990",,2194,"$ 51,690","$ 68,920",,7613287031983
